date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:24:42	68653/68653	---MCZ	200	added ('OK')	text/html	etag:%22322866fea42b826ae4022490396503c7-ssl-df%22	https://ahmedbeheiry.com/works/tf/prema/demos/index-slider-parallax.html	C:/My%20Web%20Sites/personal%20ww/ahmedbeheiry.com/works/tf/prema/demos/index-slider-parallax.html	(from )
16:24:42	1444/1444	---MCZ	404	error ('Not%20Found')	text/html	etag:1592429747-ssl-df	https://ahmedbeheiry.com/robots.txt		(from )
16:24:43	1960/1960	---M--	200	added ('OK')	image/png	etag:%22428178def3ee46bbe255c091b22c6f26-ssl%22	https://ahmedbeheiry.com/works/tf/prema/demos/img/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/personal%20ww/ahmedbeheiry.com/works/tf/prema/demos/img/favicons/apple-touch-icon.png	(from https://ahmedbeheiry.com/works/tf/prema/demos/index-slider-parallax.html)
16:24:43	849/849	---M--	200	added ('OK')	image/png	etag:%22b1de42f1389f8fa87b1d7c8a4ce7ea8d-ssl%22	https://ahmedbeheiry.com/works/tf/prema/demos/img/favicons/favicon-32x32.png	C:/My%20Web%20Sites/personal%20ww/ahmedbeheiry.com/works/tf/prema/demos/img/favicons/favicon-32x32.png	(from https://ahmedbeheiry.com/works/tf/prema/demos/index-slider-parallax.html)
16:24:44	722/722	---M--	200	added ('OK')	image/png	etag:%22a716149a4aa4159c8ac404d6f64702b9-ssl%22	https://ahmedbeheiry.com/works/tf/prema/demos/img/favicons/favicon-16x16.png	C:/My%20Web%20Sites/personal%20ww/ahmedbeheiry.com/works/tf/prema/demos/img/favicons/favicon-16x16.png	(from https://ahmedbeheiry.com/works/tf/prema/demos/index-slider-parallax.html)
16:24:44	200/200	---M--	200	added ('OK')	application/json	etag:%22bd874844d57da5c32da5d561620bea3c-ssl%22	https://ahmedbeheiry.com/works/tf/prema/demos/img/favicons/manifest.json	C:/My%20Web%20Sites/personal%20ww/ahmedbeheiry.com/works/tf/prema/demos/img/favicons/manifest.json	(from https://ahmedbeheiry.com/works/tf/prema/demos/index-slider-parallax.html)
16:24:45	1046/1046	---M-Z	200	added ('OK')	image/svg+xml	etag:%225e609f731654ef4f4f94e4e21e22c922-ssl-df%22	https://ahmedbeheiry.com/works/tf/prema/demos/img/favicons/safari-pinned-tab.svg	C:/My%20Web%20Sites/personal%20ww/ahmedbeheiry.com/works/tf/prema/demos/img/favicons/safari-pinned-tab.svg	(from https://ahmedbeheiry.com/works/tf/prema/demos/index-slider-parallax.html)
16:24:46	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223e8bb489ed536df7303418f64994fa4a-ssl%22	https://ahmedbeheiry.com/works/tf/prema/demos/img/favicons/favicon.ico	C:/My%20Web%20Sites/personal%20ww/ahmedbeheiry.com/works/tf/prema/demos/img/favicons/favicon.ico	(from https://ahmedbeheiry.com/works/tf/prema/demos/index-slider-parallax.html)
16:24:47	243/243	---M--	200	added ('OK')	application/xml	etag:%223f8e7db25aabc2815cd17835950a7ab0-ssl%22	https://ahmedbeheiry.com/works/tf/prema/demos/img/favicons/browserconfig.xml	C:/My%20Web%20Sites/personal%20ww/ahmedbeheiry.com/works/tf/prema/demos/img/favicons/browserconfig.xml	(from https://ahmedbeheiry.com/works/tf/prema/demos/index-slider-parallax.html)
16:24:47	121260/121260	---MCZ	200	added ('OK')	text/css	etag:%22c27881edf6742337ebcc196b84b48869-ssl-df%22	https://ahmedbeheiry.com/works/tf/prema/demos/css/bootstrap.min.css	C:/My%20Web%20Sites/personal%20ww/ahmedbeheiry.com/works/tf/prema/demos/css/bootstrap.min.css	(from https://ahmedbeheiry.com/works/tf/prema/demos/index-slider-parallax.html)
16:24:48	29063/29063	---MCZ	200	added ('OK')	text/css	etag:%22b433b9755ce3837c688b068668ed411f-ssl-df%22	https://ahmedbeheiry.com/works/tf/prema/demos/css/font-awesome.min.css	C:/My%20Web%20Sites/personal%20ww/ahmedbeheiry.com/works/tf/prema/demos/css/font-awesome.min.css	(from https://ahmedbeheiry.com/works/tf/prema/demos/index-slider-parallax.html)
16:24:49	44240/44240	---MCZ	200	added ('OK')	text/css	etag:%223e3827afad1e64360c9bf54659329f9d-ssl-df%22	https://ahmedbeheiry.com/works/tf/prema/demos/css/animate.css	C:/My%20Web%20Sites/personal%20ww/ahmedbeheiry.com/works/tf/prema/demos/css/animate.css	(from https://ahmedbeheiry.com/works/tf/prema/demos/index-slider-parallax.html)
